trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-35.84713666959794,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",30,0,-16.50016134439749,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,13,20.405449277669423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-11.583437478843654,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-36.384981472941234,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",25,0,13.312208678178578,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-51.77587861049493,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-33.03809049934346,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",25,12,-5.872552402954503,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,16,-4.438497761604531,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,3,19.111476349332495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.960170286650366}",20,8,9.977513958539276,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,20.16096389484342,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,19.716352170639915,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,7,12.5724563421175,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",30,0,-12.855074290002246,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",30,2,36.52336456646904,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,4,-12.08270250088851,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,12,14.774274409831351,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,13,12.679749552014542,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",25,0,-34.50667880128526,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",30,0,-8.611519730572045,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",20,12,-15.407269909954518,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",30,13,28.890734347893485,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",25,7,22.67080795500638,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,2,9.246572322055728,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.594920663309892}",20,0,24.595980200855468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,9,19.379592307125968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",20,6,14.269405018073865,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",30,0,30.100882060062606,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",20,0,20.751396759998524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",25,1,30.756219072403326,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",20,0,15.98201566333466,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",20,0,20.07984992966329,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.2194399632114593}",20,0,-6.4648683788968535,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,27.618068518496067,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.939524893748256}",25,5,30.37336739361958,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,11,16.397229682063024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",35,2,-7.374246548414421,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.408082061813392}",20,0,-30.045907533513283,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.07956356727854007}",30,18,21.60451905443432,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.5477292602242684}",20,0,28.10739657546562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",20,0,17.046251185650455,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",20,0,24.888448811015916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",25,18,10.795349249791727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",20,16,6.854642860907442,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",25,7,20.74194643403271,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.424179007336997}",25,0,35.92925306733189,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",30,3,36.878219673936044,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",20,0,31.497702447685562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.933315112063922}",20,2,20.703191707822977,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",25,13,21.878553115941664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.20213512038718198}",20,4,21.02413478409601,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",20,5,28.178795629071047,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",25,0,34.79256384939967,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",35,20,19.716957317708516,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",20,0,28.417256688841867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7480575296890004}",25,0,-6.536219123730101,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",25,0,26.92698221462424,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",25,0,21.426436437543526,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",20,0,26.665264348907982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",20,0,6.965180540389876,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",20,0,-8.524111994521691,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",20,4,31.40712285068289,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",25,0,9.326136877061701,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.013276747223059479}",25,0,35.908838235196654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.49103472393024045}",20,0,30.672823111420286,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.8485702747846052}",30,16,25.04282304796035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9983462274487422}",25,8,-15.706052465364923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.9036922050915067}",25,0,39.01040262499167,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.587782813560387}",25,9,17.759977613882633,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.12796368962740468}",25,0,32.438538746196656,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.36318540841606234}",20,0,-18.03826922927184,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.7654140519453433}",25,11,18.504802400283328,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",25,8,28.154963926796857,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",25,9,16.730040010312187,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6960693098638897}",30,0,45.129019331622416,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.26664293235993725}",20,0,31.120468022827588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.22806693448309956}",25,16,15.41390713198458,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
