trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,20,-34.57807080843217,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,0,-39.86819557620393,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-37.09919872653828,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-10.233846735418272,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,9,-32.88080518704959,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",30,13,-5.400782011551637,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,29.523938651462196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",30,7,30.7501016999804,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,0,23.101217700469643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,16,7.6268776405248335,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,11,19.34172121603403,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,29.583741322851086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,5,36.15617026413162,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,19,10.07445352805434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,12,21.24996201940319,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,8,25.58625447086597,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,12,11.031201569989605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,5,21.580447072176305,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,2,30.217639739450973,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,8,30.13498971550474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,0,24.28669550869129,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",25,0,18.1664525407576,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",25,8,25.902336383275905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,0,-20.301684452435218,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",30,13,20.403701856596257,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",25,0,30.578567106905798,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.594920663309892}",30,18,19.11332392177429,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,0,25.731668091022197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.354924266788705}",20,6,18.329039328184713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",20,0,-0.7270449769954993,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",25,0,9.614755528235932,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",25,19,8.795384260600681,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",25,7,23.395306626088242,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",20,10,-2.8701186933597365,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.2194399632114593}",20,8,26.197468845851397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,10,21.923080825113516,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.939524893748256}",20,5,18.74313282298255,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,4,22.824061356550533,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",20,0,26.024555888199053,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.408082061813392}",30,22,13.60197214748792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.07956356727854007}",25,0,37.14582603575363,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.5477292602242684}",25,3,34.921781115619275,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",25,13,20.815534546975496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
