trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,11,-108.64741089347149,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-94.83864068630464,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,2,-26.908296188107002,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-45.21638243486716,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-134.55103157114806,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-10.739803932321486,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-94.25827116907865,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-27.440423157067837,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-48.54390532910787,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,9,-38.41571668224333,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-179.1821786767293,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,14,-74.91815431636886,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-234.1438366218989,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,13,0.40476210431359183,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,7,-61.750240300840495,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,2,-229.92168784238444,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 4}",1
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,6,-89.08012120496909,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-146.5410507121735,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-93.11994838725793,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-145.89409965470756,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-79.417240833462,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-113.26295351403698,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-70.54896944000365,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-168.3889753136355,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-186.21914890529453,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
