trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.81178199057086,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.24007683369035,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.70622915556747,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,1,-82.6552685769819,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.3337845781772,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.09050392876856,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.52172205333537,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.71376719826944,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.460025768005607,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.5918567250464,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.54055406895023,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.86968285288357,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.2829314705184,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.66715237036523,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.09187081726607,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.50861315363998,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.94553153795178,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-175.60635291433135,"{0: 19, 1: 6, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.85231951147226,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.437468676478893,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-79.42513963446504,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.09156137807278,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.5575919324371,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.15144343140352,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.5293216564296,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.27470048560667,"{0: 14, 1: 4, 2: 1, 3: 2, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,17,-2.2729991655329886,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.52983771789727,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.98948296261858,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-283.51648453663705,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 5}",0
